"id","name_id","name_en","brand","sku","price","img","badge","vehicles","compat_id","compat_en"
"1003195","FILTER SOLAR 18-97653013-A","FILTER SOLAR 18-97653013-A","ISUZU","1003195","210000","","original","","",""
"1003196","FILTER SOLAR 1770A478A","FILTER SOLAR 1770A478A","MMKSI","1003196","250000","","aftermarket","","",""
"1003197","FILTER SOLARMB220900 L300","FILTER SOLARMB220900 L300","MITSHUBISHI","1003197","150000","","aftermarket","","",""
"1003198","FILTER SOLAR 16-13240023-O","FILTER SOLAR 16-13240023-O","ISUZU","1003198","70000","","original","","",""
"1003199","FILTER SOLAR 16-97172549-0 NKR 71 E2","FILTER SOLAR 16-97172549-0 NKR 71 E2","ISUZU","1003199","70000","","original","","",""
"1003200","FILTER SOLAR ATAS  ME035829","FILTER SOLAR ATAS  ME035829","MITSHUBISHI KTB","1003200","105000","","aftermarket","","",""
"1003201","FILTER SOLAR FC-1003","FILTER SOLAR FC-1003","SAKURA","1003201","65000","","aftermarket","","",""
"1003202","FILTER SOLAR JFE-14003","FILTER SOLAR JFE-14003","JIMCO","1003202","135000","","aftermarket","","",""
"1003203","FILTER SOLAR JFF-14000","FILTER SOLAR JFF-14000","JIMCO","1003203","55000","","aftermarket","","",""
"1003204","FILTER SOLARJFE-14004","FILTER SOLARJFE-14004","JIMCO","1003204","65000","","aftermarket","","",""
"1003205","FILTER OLI 16-13211018-O","FILTER OLI 16-13211018-O","ISUZU","1003205","95000","","original","","",""
"1003206","FILTER OLI 16-97329911-O","FILTER OLI 16-97329911-O","ISUZU","1003206","85000","","original","","",""
"1003207","FILTER SOLAR F-1805","FILTER SOLAR F-1805","SAKURA","1003207","115000","","aftermarket","","",""
"1003208","FILTER SOLAR FC-1805","FILTER SOLAR FC-1805","SAKURA","1003208","110000","","aftermarket","","",""
"1003210","FILTER SOLAR F-1803","FILTER SOLAR F-1803","SAKURA","1003210","65000","","aftermarket","","",""
"1003211","FILTER SOLAR ME971553 F SOLAR BAWAH","FILTER SOLAR ME971553 F SOLAR BAWAH","MITSHUBISHI KTB","1003211","135000","","aftermarket","","",""
"1003212","FILTER SOLAR F-1008","FILTER SOLAR F-1008","SAKURA","1003212","40000","","aftermarket","","",""
"1003213","FILTER SOLAR CDL10-17000","FILTER SOLAR CDL10-17000","ARPI","1003213","85000","","aftermarket","","",""
"1003214","FILTER SOLAR 23401-1030","FILTER SOLAR 23401-1030","JIMCO","1003214","65000","","aftermarket","","",""
